csoonID,showID
58399,
58400,
58401,47771
58402,
58403,
58404,
58406,47762
58407,47761
58408,47763
58409,
58410,
58411,47787
58412,47768
58413,47794
58414,
58415,
58416,
58417,
58418,
58419,
58420,
58421,
58422,
58423,
58424,
58425,
58426,
58427,
58428,
58429,
58430,
58431,
58432,
58433,
58434,47818
58435,47804
58436,47863
58437,47879
58438,
58439,47803
58440,47886
58441,47880
58442,47867
58443,47853
58444,
58445,47820
58446,
58447,
58448,
58449,
58450,
